ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,NOM,MPC,SLOC,AHF,MIF,AIF,CF,MHF,PF,CC,LOC,NNL,MI
org.thymeleaf.engine.ElementDefinitions,26.0,1.0,0.0,31.0,67.0,265.0,22.0,27.0,677.0,1840.0,123.0,0.2291,0.0,0.1364,,65.0,0.9903,3.0,
org.thymeleaf.engine.ElementDefinitions$1,1.0,1.0,0.0,2.0,3.0,0.0,,,,49.0,0.0,0.0,0.0,,,47.0,2.0,,
org.thymeleaf.engine.ElementDefinitions$ElementDefinitionRepository,12.0,1.0,0.0,13.0,47.0,10.0,,,,935.0,1.0,0.2583,0.0,,,76.1667,0.5354,,
org.thymeleaf.engine.ElementDefinitions$HTMLElementDefinitionSpec,2.0,1.0,0.0,3.0,5.0,0.0,,,,23.0,2.0,1.0,0.0,,,9.0,0.6667,,
org.thymeleaf.engine.ElementDefinitions.ElementDefinitionRepository,,1.0,0.0,16.0,,56.0,11.0,16.0,268.0,,,,,0.6364,,,484.0,5.0,
org.thymeleaf.engine.ElementDefinitions.HTMLElementDefinitionSpec,,1.0,0.0,4.0,,0.0,1.0,4.0,11.0,,,,,0.0,,,15.0,0.0,
org.thymeleaf.engine.ElementModelStructureHandler,8.0,1.0,0.0,5.0,25.0,6.0,8.0,8.0,80.0,176.0,2.0,0.3125,0.0,0.0,,19.75,0.5714,2.0,
org.thymeleaf.engine.ElementName,8.0,1.0,3.0,17.0,18.0,4.0,8.0,5.0,61.0,134.0,0.0,0.3438,1.0,0.125,,15.25,0.7143,1.0,
org.thymeleaf.engine.ElementNames,32.0,1.0,0.0,13.0,54.0,460.0,22.0,9.0,534.0,984.0,3.0,0.2839,0.0,0.4545,,29.6563,0.8065,3.0,
org.thymeleaf.engine.ElementNames$ElementNamesRepository,10.0,1.0,0.0,7.0,41.0,3.0,,,,716.0,1.0,0.3714,0.0,,,70.0,0.5556,,
org.thymeleaf.engine.ElementNames.ElementNamesRepository,,1.0,0.0,11.0,,55.0,10.0,11.0,219.0,,,,,0.6,,,378.0,5.0,
org.thymeleaf.engine.ElementProcessorIterator,8.0,1.0,0.0,6.0,22.0,0.0,8.0,10.0,144.0,454.0,3.0,0.5417,0.0,0.25,,54.5,0.5,2.0,
org.thymeleaf.engine.ElementTagStructureHandler,33.0,1.0,0.0,13.0,58.0,398.0,33.0,17.0,377.0,1048.0,6.0,0.158,0.0,0.1212,,29.4242,0.7337,3.0,
org.thymeleaf.engine.EngineContextManager,4.0,1.0,0.0,7.0,10.0,6.0,4.0,6.0,31.0,42.0,0.0,0.4167,0.0,0.5,,9.5,2.0,1.0,
org.thymeleaf.engine.EngineEventUtils,11.0,1.0,0.0,22.0,30.0,55.0,11.0,20.0,117.0,235.0,0.0,0.1515,0.0,0.3636,,20.3636,2.0,2.0,
org.thymeleaf.engine.GatheringModelProcessable,2.0,2.0,0.0,10.0,9.0,0.0,2.0,8.0,29.0,72.0,1.0,0.5556,0.0,0.0,,34.0,0.0,1.0,
org.thymeleaf.engine.HTMLAttributeDefinition,2.0,2.0,0.0,5.0,3.0,0.0,2.0,2.0,11.0,14.0,0.0,0.625,0.0,0.0,,5.5,0.0,0.0,
org.thymeleaf.engine.HTMLAttributeName,4.0,2.0,0.0,8.0,10.0,2.0,4.0,1.0,42.0,106.0,0.0,0.5,0.0,0.25,,25.0,0.3333,1.0,
org.thymeleaf.engine.HTMLElementDefinition,2.0,2.0,0.0,6.0,3.0,0.0,2.0,3.0,10.0,14.0,1.0,0.625,0.0,0.0,,5.5,0.0,0.0,
org.thymeleaf.engine.HTMLElementName,4.0,2.0,0.0,9.0,10.0,2.0,4.0,1.0,42.0,104.0,0.0,0.5,0.0,0.25,,24.5,0.3333,1.0,
org.thymeleaf.engine.HTMLElementType,6.0,2.0,0.0,5.0,9.0,9.0,4.0,1.0,10.0,94.0,6.0,0.3,1.0,0.25,,13.5,0.7714,0.0,
org.thymeleaf.engine.IAttributeDefinitionsAware,1.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.IElementDefinitionsAware,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.IEngineProcessable,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.IEngineTemplateEvent,1.0,1.0,0.0,14.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.IGatheringModelProcessable,14.0,1.0,0.0,15.0,14.0,91.0,14.0,11.0,15.0,14.0,0.0,0.1714,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.ISSEThrottledTemplateWriterControl,2.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,0.75,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.ITemplateHandler,13.0,1.0,0.0,43.0,13.0,78.0,13.0,12.0,15.0,13.0,0.0,0.1429,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.IThrottledTemplateWriterControl,5.0,1.0,0.0,4.0,5.0,10.0,5.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.IteratedGatheringModelProcessable,7.0,2.0,0.0,24.0,59.0,13.0,7.0,38.0,330.0,794.0,7.0,0.2308,0.0,0.5714,,110.5714,0.7564,4.0,
org.thymeleaf.engine.IteratedGatheringModelProcessable$1,4.0,1.0,0.0,1.0,8.0,0.0,,,,51.0,0.0,0.625,0.0,,,10.75,0.6667,,
org.thymeleaf.engine.IteratedGatheringModelProcessable$2,4.0,1.0,0.0,1.0,8.0,0.0,,,,30.0,0.0,0.625,0.0,,,6.0,0.6667,,
org.thymeleaf.engine.IteratedGatheringModelProcessable$IterationModels,3.0,1.0,0.0,2.0,4.0,1.0,,,,45.0,4.0,0.75,0.0,,,12.3333,0.5,,
org.thymeleaf.engine.IteratedGatheringModelProcessable$IterationWhiteSpaceHandling,5.0,2.0,0.0,2.0,8.0,6.0,,,,59.0,4.0,0.3333,1.0,,,10.0,0.75,,
org.thymeleaf.engine.IteratedGatheringModelProcessable.IterationModels,,1.0,0.0,1.0,,50.0,2.0,1.0,17.0,,,,,0.0,,,22.0,0.0,
org.thymeleaf.engine.IteratedGatheringModelProcessable.IterationWhiteSpaceHandling,,1.0,0.0,2.0,,,2.0,2.0,1.0,,,,,0.0,,,1.0,0.0,
org.thymeleaf.engine.IteratedGatheringModelProcessable.computeIteratedObjectIterator.(Anon_1),,1.0,0.0,3.0,,56.0,3.0,3.0,13.0,,,,,0.0,,,17.0,0.0,
org.thymeleaf.engine.IteratedGatheringModelProcessable.computeIteratedObjectIterator.(Anon_2),,1.0,0.0,3.0,,33.0,3.0,3.0,11.0,,,,,0.0,,,16.0,0.0,
org.thymeleaf.engine.IterationStatusVar,11.0,1.0,0.0,1.0,19.0,13.0,11.0,3.0,40.0,110.0,0.0,1.0,0.0,0.0,,8.7273,0.6667,0.0,
